time,active_energy_import_diff,active_energy_export_diff,reactive_energy_import_diff,reactive_energy_export_diff,apparent_energy_import_diff,apparent_energy_export_diff
2024-10-10T00:19:40.1540001Z,2895,0,0,464,5443,0
2024-10-10T00:29:35.509Z,2946,0,0,472,5569,0
2024-10-10T00:39:35.038Z,2970,0,0,494,5582,0
2024-10-10T00:59:37.437Z,5977,0,0,988,11252,0
2024-10-10T01:09:34.908Z,2992,0,0,500,5644,0
2024-10-10T01:19:31.3770002Z,2996,0,0,506,5654,0
2024-10-10T01:39:39.3499999Z,5994,0,0,1016,11301,0
2024-10-10T01:49:39.381Z,2998,0,0,506,5684,0
2024-10-10T01:59:32.237Z,2998,0,0,490,5703,0
2024-10-10T02:19:42.712Z,6004,0,0,1030,11324,0
2024-10-10T02:29:33.065Z,2997,0,0,509,5615,0
2024-10-10T02:59:37.558Z,8986,0,0,1482,16972,0
2024-10-10T03:09:43.5309998Z,2992,0,0,511,5629,0
2024-10-10T03:19:41.06Z,3022,0,0,487,5642,0
2024-10-10T03:39:33.978Z,8470,0,0,2502,13526,0
2024-10-10T03:49:41.6180001Z,3062,0,0,494,5701,0
2024-10-10T03:59:41.379Z,3042,0,0,479,5670,0
2024-10-10T04:19:38.3829998Z,6078,0,0,955,11235,0
2024-10-10T04:29:39.6949998Z,3039,0,0,473,5588,0
2024-10-10T04:39:37.228Z,3042,0,0,471,5650,0
2024-10-10T04:59:36.1930002Z,6078,0,1,936,11216,0
2024-10-10T05:00:54.0820001Z,400,0,0,59,746,0
2024-10-10T05:09:42.4949998Z,2636,0,0,399,4862,0
2024-10-10T05:19:42.4330002Z,3036,0,0,471,5584,0
2024-10-10T05:29:40.346Z,3033,0,0,469,5579,0
2024-10-10T05:39:31.442Z,3032,0,0,466,5585,0
2024-10-10T05:49:41.783Z,3031,0,0,462,5585,0
2024-10-10T05:59:37.7149998Z,3031,0,0,448,5612,0
2024-10-10T06:19:37.573Z,6061,0,0,919,11238,0
2024-10-10T06:39:35.1530002Z,6056,0,1,941,11275,0
2024-10-10T06:49:35.077Z,3027,0,0,473,5633,0
2024-10-10T07:09:39.093Z,6058,0,0,960,11248,0
2024-10-10T07:19:38.113Z,3021,0,0,482,5606,0
2024-10-10T07:29:38.553Z,3026,0,0,487,5587,0
2024-10-10T07:49:36.036Z,6052,0,0,976,11189,0
2024-10-10T07:59:39.059Z,3027,0,0,490,5615,0
2024-10-10T08:09:38.588Z,3027,0,0,485,5661,0
2024-10-10T08:19:44.074Z,3030,0,0,482,5665,0
2024-10-10T08:29:33.4900001Z,3029,0,0,469,5679,0
2024-10-10T08:49:38.021Z,6069,0,1,932,11236,0
2024-10-10T08:59:36.5220001Z,2968,0,1,471,5508,0
2024-10-10T09:09:38.064Z,2952,0,0,483,5491,0
2024-10-10T09:19:39.548Z,1518,0,0,446,2991,0
2024-10-10T09:29:41.027Z,80,0,0,405,439,0
2024-10-10T09:39:42.129Z,80,0,0,407,443,0
2024-10-10T09:59:37.982Z,162,0,0,821,890,0
2024-10-10T10:09:42.487Z,81,0,0,417,447,0
2024-10-10T10:19:34.8410002Z,81,0,0,412,443,0
2024-10-10T10:29:39.837Z,80,0,0,407,437,0
2024-10-10T10:39:31.04Z,81,0,0,409,437,0
2024-10-10T10:49:33.839Z,80,0,0,410,438,0
2024-10-10T10:59:36.4260001Z,81,0,0,412,439,0
2024-10-10T11:19:33.544Z,163,0,0,833,889,0
2024-10-10T11:29:31.2820001Z,82,0,0,419,446,0
2024-10-10T11:49:38.8770002Z,161,0,0,820,880,0
2024-10-10T12:19:42.769Z,243,0,0,1236,1324,0
2024-10-10T12:39:31.2219999Z,161,0,0,824,885,0
2024-10-10T12:49:35.18Z,81,0,0,413,443,0
2024-10-10T12:59:37.147Z,82,0,0,415,445,0
2024-10-10T13:01:01.926Z,12,0,0,60,65,0
2024-10-10T13:19:41.903Z,150,0,0,769,824,0
2024-10-10T13:39:43.3469998Z,163,0,0,828,888,0
2024-10-10T13:49:34.409Z,81,0,0,414,445,0
2024-10-10T14:19:43.28Z,244,0,0,1250,1342,0
2024-10-10T14:29:40.764Z,82,0,0,418,447,0
2024-10-10T14:39:40.3429998Z,82,0,0,419,450,0
2024-10-10T14:49:36.319Z,81,0,0,415,447,0
2024-10-10T14:59:33.3069998Z,81,0,0,411,444,0
2024-10-10T15:09:41.317Z,81,0,0,411,444,0
