time,active_energy_import_diff,active_energy_export_diff,reactive_energy_import_diff,reactive_energy_export_diff,apparent_energy_import_diff,apparent_energy_export_diff
2024-10-10T03:59:31.18Z,277968,0,155827,0,318848,0
2024-10-10T04:19:28.62Z,709315,0,399808,0,814736,0
2024-10-10T04:29:32.104Z,356345,0,200394,0,409094,0
2024-10-10T05:29:27.429Z,2147437,0,1214374,0,2468653,0
2024-10-10T05:49:30.473Z,722317,0,403363,0,827879,0
2024-10-10T06:09:32.811Z,716742,0,399130,0,820928,0
2024-10-10T06:29:31.875Z,718400,0,400323,0,822931,0
2024-10-10T06:39:26.881Z,361245,0,200150,0,412576,0
2024-10-10T06:49:27.895Z,366631,0,202301,0,419030,0
2024-10-10T06:59:33.428Z,359088,0,199664,0,411802,0
2024-10-10T07:29:31.916Z,1090508,0,604653,0,1247782,0
2024-10-10T07:39:30.8459999Z,362663,0,201827,0,415277,0
2024-10-10T07:49:30.4330002Z,359101,0,200519,0,411555,0
2024-10-10T07:59:25.304Z,356336,0,200457,0,409133,0
2024-10-10T08:09:26.633Z,359456,0,201728,0,412454,0
2024-10-10T08:29:29.6170002Z,712054,0,400960,0,817706,0
2024-10-10T08:39:26.724Z,356525,0,201613,0,409814,0
2024-10-10T08:59:29.2490002Z,312547,0,177274,336,358682,0
2024-10-10T09:09:33.0820001Z,2266,0,851,333,2618,0
2024-10-10T09:29:26.613Z,5564,0,1971,982,6400,0
2024-10-10T09:39:26.183Z,3194,0,1098,618,3657,0
2024-10-10T09:49:29.15Z,2912,0,1020,525,3338,0
2024-10-10T09:59:29.638Z,2432,0,890,390,2800,0
2024-10-10T10:09:30.461Z,2464,0,902,387,2841,0
2024-10-10T10:19:28.012Z,2438,0,893,387,2810,0
2024-10-10T10:29:31.034Z,2410,0,874,388,2771,0
2024-10-10T10:39:27.487Z,2422,0,880,387,2787,0
2024-10-10T10:49:30.904Z,2429,0,886,387,2794,0
2024-10-10T10:59:31.0309998Z,2442,0,887,387,2803,0
2024-10-10T11:09:33.924Z,2464,0,902,387,2842,0
2024-10-10T11:39:30.445Z,7385,0,2698,1165,8499,0
2024-10-10T11:49:28.859Z,2436,0,886,387,2800,0
2024-10-10T11:52:23.257Z,684,0,250,109,784,0
2024-10-10T12:09:27.287Z,4199,0,1526,666,4826,0
2024-10-10T12:29:24.219Z,4880,0,1776,774,5616,0
2024-10-10T12:39:27.817Z,2441,0,890,391,2809,0
2024-10-10T13:09:29.069Z,7360,0,2684,1164,8474,0
2024-10-10T13:19:28.118Z,2452,0,893,388,2819,0
2024-10-10T13:29:28.029Z,2451,0,893,387,2822,0
2024-10-10T13:49:31.9890002Z,4905,0,1792,777,5645,0
2024-10-10T14:09:28.498Z,4938,0,1802,781,5680,0
2024-10-10T14:29:30.583Z,4950,0,1814,775,5703,0
2024-10-10T14:39:28.906Z,2487,0,912,387,2867,0
2024-10-10T14:49:28.491Z,2464,0,899,390,2832,0
2024-10-10T15:09:27.8410002Z,4873,0,1773,775,5603,0
2024-10-10T15:19:32.828Z,2442,0,886,387,2810,0
2024-10-10T15:49:31.981Z,7354,0,2682,1168,8460,0
2024-10-10T15:59:30.446Z,2467,0,902,387,2839,0
2024-10-10T16:09:26.427Z,2464,0,900,390,2838,0
2024-10-10T16:19:28.811Z,2477,0,905,391,2851,0
2024-10-10T16:29:31.405Z,2480,0,909,390,2858,0
2024-10-10T16:39:31.4500001Z,2489,0,912,387,2867,0
2024-10-10T16:59:28.744Z,4995,0,1834,781,5747,0
2024-10-10T17:09:28.591Z,2503,0,918,391,2880,0
2024-10-10T17:19:27.608Z,2499,0,918,390,2880,0
2024-10-10T17:29:26.034Z,2470,0,903,387,2845,0
2024-10-10T17:49:28.639Z,4909,0,1792,778,5645,0
2024-10-10T18:09:33.334Z,4903,0,1789,777,5651,0
2024-10-10T18:29:32.42Z,4912,0,1785,775,5648,0
2024-10-10T18:39:29.012Z,2454,0,896,390,2823,0
2024-10-10T19:09:25.217Z,7398,0,2701,1165,8518,0
2024-10-10T19:19:29.302Z,2480,0,906,390,2851,0
2024-10-10T19:49:30.268Z,7456,0,2732,1165,8586,0
2024-10-10T19:59:33.132Z,2496,0,912,391,2873,0
2024-10-10T20:29:29.514Z,7508,0,2756,1168,8644,0
2024-10-10T20:49:31.033Z,4880,0,1776,777,5616,0
2024-10-10T20:59:28.483Z,2441,0,889,387,2812,0
2024-10-10T21:19:28.2820001Z,4877,0,1773,778,5604,0
2024-10-10T21:39:30.2939999Z,4806,0,1734,778,5523,0
2024-10-10T21:59:26.7739999Z,4909,0,1792,780,5654,0
2024-10-10T22:09:29.713Z,2451,0,893,391,2819,0
2024-10-10T22:19:26.572Z,2442,0,890,390,2807,0
