time,active_energy_import_diff,active_energy_export_diff,reactive_energy_import_diff,reactive_energy_export_diff,apparent_energy_import_diff,apparent_energy_export_diff
2024-10-10T04:08:57.7579999Z,3819,0,1504,0,4293,0
2024-10-10T04:18:54.733Z,2690,0,1058,0,3032,0
2024-10-10T04:29:03.607Z,2798,0,1071,0,3136,0
2024-10-10T04:49:15.106Z,4601,0,1758,0,5177,0
2024-10-10T04:59:14.14Z,3699,0,1157,41,4456,0
2024-10-10T05:09:12.017Z,3092,0,1087,16,3546,0
2024-10-10T05:19:09.023Z,2416,0,916,0,2701,0
2024-10-10T05:29:07.464Z,2092,0,809,0,2379,0
2024-10-10T05:38:57.2149998Z,2782,0,1069,0,3114,0
2024-10-10T05:48:49.493Z,2789,0,1045,0,3111,0
2024-10-10T06:08:57.2980001Z,4536,0,1627,0,5070,0
2024-10-10T06:18:50.409Z,2753,0,1059,0,3084,0
2024-10-10T06:29:04.855Z,2760,0,1029,0,3078,0
2024-10-10T06:38:53.373Z,2226,0,824,0,2488,0
2024-10-10T06:49:10.043Z,2195,0,820,0,2481,0
2024-10-10T06:58:56.96Z,2733,0,1037,0,3058,0
2024-10-10T07:09:05.2980001Z,2741,0,1034,0,3063,0
2024-10-10T07:29:09.013Z,4462,0,1657,0,5012,0
2024-10-10T07:39:11.7620001Z,2747,0,1050,0,3076,0
2024-10-10T07:49:00.2939999Z,2775,0,1048,0,3102,0
2024-10-10T08:09:05.5250002Z,4503,0,1714,0,5073,0
2024-10-10T08:29:03.144Z,5514,0,2147,0,6178,0
2024-10-10T08:48:58.703Z,4463,0,1775,0,5069,0
2024-10-10T08:59:11.169Z,2744,0,1241,0,3150,0
2024-10-10T09:18:57.084Z,4727,0,2189,0,5462,0
2024-10-10T09:28:49.4820001Z,2468,0,1040,0,2823,0
2024-10-10T09:38:52.0610002Z,2712,0,1166,0,3089,0
2024-10-10T09:48:54.1Z,2588,0,1134,0,2949,0
2024-10-10T10:09:14.4539999Z,4586,0,2080,0,5309,0
2024-10-10T10:19:03.527Z,2743,0,1234,0,3148,0
2024-10-10T10:29:01.491Z,2509,0,1074,0,2851,0
2024-10-10T10:49:01.513Z,4457,0,2067,0,5186,0
2024-10-10T10:58:58.3819999Z,2637,0,1247,0,3047,0
2024-10-10T11:09:13.923Z,2399,0,1160,0,2795,0
2024-10-10T11:19:11.317Z,1970,0,969,0,2320,0
2024-10-10T11:28:53.701Z,2590,0,1306,0,3052,0
2024-10-10T11:39:00.824Z,2626,0,1206,0,3023,0
2024-10-10T11:49:05.8619999Z,2298,0,1060,0,2658,0
2024-10-10T12:09:00.836Z,4594,0,2162,0,5355,0
2024-10-10T12:19:11.2260001Z,2614,0,1246,0,3034,0
2024-10-10T12:29:03.339Z,2222,0,1061,0,2584,0
2024-10-10T12:39:06.212Z,2000,0,956,0,2358,0
2024-10-10T12:49:00.7060001Z,2581,0,1265,0,3012,0
2024-10-10T12:59:03.689Z,2574,0,1281,0,3013,0
2024-10-10T13:08:53.536Z,2140,0,1066,0,2510,0
2024-10-10T13:18:59.1429998Z,2050,0,1014,0,2429,0
2024-10-10T13:29:06.4820001Z,2552,0,1285,0,2996,0
2024-10-10T13:39:00.665Z,2558,0,1282,0,3000,0
2024-10-10T13:49:13.019Z,2066,0,1032,0,2429,0
2024-10-10T13:58:54.509Z,2105,0,1061,0,2493,0
2024-10-10T14:09:17.334Z,2535,0,1321,0,2998,0
2024-10-10T14:18:51.007Z,2568,0,1330,0,3031,0
2024-10-10T14:28:48.3380001Z,2029,0,1044,0,2405,0
2024-10-10T14:38:49.916Z,2148,0,1141,0,2576,0
2024-10-10T14:49:03.968Z,2563,0,1318,0,3018,0
2024-10-10T14:59:09.334Z,2544,0,1238,0,2973,0
2024-10-10T15:08:53.812Z,1955,0,932,0,2283,0
2024-10-10T15:19:09.9130002Z,2196,0,1064,0,2587,0
2024-10-10T15:28:52.677Z,2538,0,1259,0,2973,0
2024-10-10T15:39:03.7909998Z,2546,0,1264,0,2973,0
2024-10-10T15:48:54.191Z,1906,0,926,0,2246,0
2024-10-10T15:59:06.6500001Z,2257,0,1136,0,2673,0
2024-10-10T16:09:02.5050002Z,2564,0,1303,0,3010,0
2024-10-10T16:19:06.649Z,2493,0,1267,0,2933,0
2024-10-10T16:28:59.068Z,1897,0,973,0,2259,0
2024-10-10T16:38:50.018Z,2331,0,1231,0,2779,0
2024-10-10T16:48:54.127Z,2549,0,1359,0,3036,0
2024-10-10T16:58:54.521Z,2444,0,1295,0,2895,0
2024-10-10T17:08:53.093Z,1914,0,1008,0,2290,0
2024-10-10T17:18:49.449Z,2379,0,1281,0,2848,0
2024-10-10T17:29:02.515Z,2546,0,1309,0,3006,0
2024-10-10T17:39:03.54Z,2364,0,1158,0,2766,0
2024-10-10T17:59:11.459Z,4295,0,2148,0,5082,0
2024-10-10T18:08:56.982Z,2519,0,1265,0,2963,0
2024-10-10T18:19:13.47Z,2289,0,1143,0,2693,0
2024-10-10T18:38:50.9530002Z,4332,0,2166,0,5132,0
2024-10-10T18:48:51.075Z,2541,0,1275,0,2983,0
2024-10-10T19:18:55.391Z,6653,0,3409,0,7904,0
