time,active_energy_import_diff,active_energy_export_diff,reactive_energy_import_diff,reactive_energy_export_diff,apparent_energy_import_diff,apparent_energy_export_diff
2024-10-10T00:19:33.44Z,4919,0,5,591,6180,0
2024-10-10T00:39:33.9189998Z,9787,0,4,1257,12385,0
2024-10-10T00:49:33.449Z,5991,0,3,692,7815,0
2024-10-10T01:29:37.068Z,20674,0,5,2477,26253,0
2024-10-10T01:39:33.5620001Z,4689,0,2,597,5850,0
2024-10-10T01:59:32.537Z,10140,0,2,1254,12773,0
2024-10-10T02:09:31.1029998Z,6045,0,2,624,7751,0
2024-10-10T02:19:30.593Z,6227,0,1,664,7933,0
2024-10-10T02:49:34.636Z,19159,0,6,2012,23710,0
2024-10-10T02:59:37.42Z,6426,0,1,670,7889,0
2024-10-10T03:09:33.854Z,6511,0,3,665,8005,0
2024-10-10T03:29:38.851Z,13560,0,2,1352,16794,0
2024-10-10T03:39:35.324Z,5594,0,0,614,6626,0
2024-10-10T03:59:30.703Z,11796,0,1,1291,14069,0
2024-10-10T04:09:31.6779999Z,6209,0,1,646,7546,0
2024-10-10T04:19:39.626Z,6111,0,1,588,7285,0
2024-10-10T04:39:36.091Z,12608,0,1,1266,15220,0
2024-10-10T04:49:37.174Z,5836,0,4,515,6872,0
2024-10-10T04:59:35.02Z,5876,0,2,513,6872,0
2024-10-10T05:19:35.98Z,12167,0,5,1077,14420,0
2024-10-10T05:29:30.985Z,6643,0,2,582,8051,0
2024-10-10T05:39:33.4130002Z,6353,0,2,580,7655,0
2024-10-10T05:59:30.844Z,12738,0,5,1255,15653,0
2024-10-10T06:09:38.2290002Z,6447,0,2,675,8246,0
2024-10-10T06:19:32.2820001Z,7017,0,2,711,8951,0
2024-10-10T06:29:34.803Z,7038,0,2,710,8918,0
2024-10-10T06:39:34.739Z,7134,0,2,702,8827,0
2024-10-10T06:49:35.417Z,6254,0,1,619,7575,0
2024-10-10T07:09:36.118Z,11144,0,2,1204,13150,0
